Company,cleaned_question
TCS,How do you maintain company coding standards
TCS,Explain the Python installation process
TCS,Explain OOP concepts
TCS,What is DevOps
TCS,Write a Python code to reverse the last k digits of a given number
TCS,What is your depth of knowledge regarding Java in conjunction with Selenium
TCS,What is your complete understanding of the Software Development Life Cycle SDLC and Software Testing Life Cycle STLC
TCS,What is IPL in Mainframe
TCS,What is the difference between the operator and the equals method in Java
TCS,What annotations are used in a REST API
TCS,What is the difference between the operator and the equals method in Java
TCS,What annotations are used in a REST API
TCS,What are the steps to create and handle a custom exception in programming
TCS,What is unsupervised and supervised machine learning
TCS,What are the various steps of EDA exploratory data analysis
TCS,In serialization if a variable is marked as transient how will it be transmitted over the network
TCS,What are some effective strategies for stress management
TCS,What is meant by SQL queries
TCS,What is the process for synthesizing data to train a machine learning model with a given minimum number of data points
TCS,What is the purpose and impact of KYC Know Your Customer
TCS,What is a firewall and how does it work
TCS,What is a false positive and false negative in security monitoring
TCS,Explain what encapsulation is
TCS,What is the difference between an Exception and an Error
TCS,What Java 8 features did you use in your project
TCS,How is a packet forwarded from ACI to an outside WAN
TCS,How does CRM work
TCS,What is IP
TCS,What is CloudWatch
TCS,How can I add EC2 instances in AWS
TCS,What is the method to count the number of words in a given string
TCS,What are the key differences between throw and throws keywords in Java
TCS,What is the workflow of Spring MVC
TCS,How can you secure your Spring Boot applications Explain in detail
TCS,Write a program using Java 8 to find the first nonrepeated character in the string google
TCS,What are checked exceptions vs unchecked exceptions in Java and can you provide details
TCS,How do you communicate between two microservices in Spring Boot applications
TCS,Write a PLSQL code
TCS,What are the differences between int float long and double data types
TCS,What is the difference between a materialized view and a view
TCS,Explain the circuit breaker pattern
TCS,What are the different ways to pass input into COBOL programs
TCS,How does the data provider annotation work in TestNG
TCS,Describe your experience creating packages or libraries in Angular
TCS,Describe your experience with Angular migration and how you resolved issues that arose during the process
TCS,What is nvm
TCS,What is the code to count the number of characters in a string
TCS,Explain the OOPS concept with examples
TCS,What are the basic concepts of the programming language in which you have experience
TCS,What are the roles and responsibilities of the Office of Foreign Assets Control OFAC and the Bank Secrecy Act BSA in financial regulations
TCS,What are the different ways to utilize services in Angular
TCS,Write a program to find prime numbers
TCS,What is the difference between Ngrx and RxJS
TCS,Write a trigger that updates ratings on an account when an opportunity is closed
TCS,Why do you want to work at TCS
TCS,Explain REST and RESTful APIs
TCS,In React what hooks have you used
TCS,Are you able to travel 40 km to the office every day
TCS,What is a string
TCS,For a technical interview round for freshers is knowledge of core Java or another language one backend framework and JavaScript sufficient
TCS,What are the basics of programming languages
TCS,What motivated you to choose TCS despite having an Electronics and Communications Engineering ECE background
TCS,What is the difference between a budget and a forecast
TCS,How do you define zerobased forecasting
TCS,What is the accrual concept in accounting
TCS,Do you know how to prepare an MIS report
TCS,Write a program for string manipulation
TCS,What are the SOLID design principles
TCS,What is an RxJS operator
TCS,What are RxJS and NgRx
TCS,Write a Java function to reverse a string using recursion
TCS,What do you know about caching
TCS,Write a program in Java 8 to identify the employee with the maximum salary given an Employee class with name id and salary parameters
