Company,Rating,Reviews,Industry & Location
TCS,3.6,(98.1k),IT Services & Consulting | Bangalore / Bengaluru +413 other locations
Accenture,3.8,(63.3k),IT Services & Consulting | Bangalore / Bengaluru +227 other locations
Wipro,3.7,(57.3k),IT Services & Consulting | Bangalore / Bengaluru +358 other locations
Cognizant,3.7,(54.4k),IT Services & Consulting | Hyderabad / Secunderabad +212 other locations
Capgemini,3.7,(46.1k),IT Services & Consulting | Bangalore / Bengaluru +172 other locations
HDFC Bank,3.9,(43.5k),Banking | Mumbai +1693 other locations
Infosys,3.6,(42.9k),IT Services & Consulting | Bangalore / Bengaluru +228 other locations
ICICI Bank,4.0,(41.9k),Banking | Mumbai +1392 other locations
HCLTech,3.5,(39.6k),IT Services & Consulting | Chennai +216 other locations
Tech Mahindra,3.5,(38.1k),IT Services & Consulting | Hyderabad / Secunderabad +320 other locations
Genpact,3.8,(35.8k),IT Services & Consulting | Hyderabad / Secunderabad +160 other locations
Teleperformance,3.9,(32.4k),BPO | Mumbai +245 other locations
Concentrix Corporation,3.7,(28.5k),BPO | Bangalore / Bengaluru +165 other locations
Axis Bank,3.7,(28.2k),Banking | Mumbai +1421 other locations
Amazon,4.0,(27.2k),Internet | Bangalore / Bengaluru +498 other locations
Jio,4.0,(25.7k),Telecom | Mumbai +1416 other locations
iEnergizer,4.7,(24.8k),BPO | Noida +44 other locations
Reliance Retail,3.9,(24.1k),Retail | Mumbai +1086 other locations
IBM,4.0,(23.5k),IT Services & Consulting | Bangalore / Bengaluru +159 other locations
LTIMindtree,3.7,(22.7k),IT Services & Consulting | Bangalore / Bengaluru +133 other locations
HDB Financial Services,3.9,(22.3k),NBFC | Mumbai +1028 other locations
Larsen & Toubro Limited,3.9,(20.2k),Engineering & Construction | Chennai +706 other locations
Deloitte,3.7,(19.6k),Management Consulting | Hyderabad / Secunderabad +165 other locations
Kotak Mahindra Bank,3.7,(19.2k),Banking | Mumbai +648 other locations
Reliance Industries ,4.0,(17.5k),Oil & Gas | Jamnagar +761 other locations
BYJU'S,3.1,(16.4k),EdTech | Bangalore / Bengaluru +321 other locations
Vodafone Idea,4.0,(16.2k),Telecom | Pune +685 other locations
Bharti Airtel,3.9,(15.1k),Telecom | Gurgaon / Gurugram +749 other locations
WNS,3.3,(13.1k),BPO | Pune +56 other locations
Tata Motors,4.2,(12.9k),Automobile | Pune +485 other locations
AU Small Finance Bank,4.2,(12.4k),Banking | Jaipur +723 other locations
IndusInd Bank,3.5,(12k),Banking | Mumbai +751 other locations
Ernst & Young,3.4,(12k),Management Consulting | Bangalore / Bengaluru +120 other locations
IDFC FIRST Bank,3.9,(11.7k),Banking | Mumbai +662 other locations
Flipkart,3.9,(11.5k),Internet | Bangalore / Bengaluru +542 other locations
DXC Technology,3.7,(10.8k),IT Services & Consulting | Bangalore / Bengaluru +127 other locations
Infosys BPM ,3.6,(10.7k),BPO | Bangalore / Bengaluru +87 other locations
Mahindra & Mahindra,4.1,(10.5k),Automobile | Pune +530 other locations
Bajaj Finserv,4.0,(10.4k),Financial Services | Pune +1049 other locations
PwC,3.4,(10.4k),Management Consulting | Bangalore / Bengaluru +120 other locations
HDFC Life,3.9,(10.2k),Insurance | Mumbai +639 other locations
Conneqt Business Solutions,3.6,(9.3k),BPO | Hyderabad / Secunderabad +252 other locations
Mphasis,3.3,(9.1k),IT Services & Consulting | Bangalore / Bengaluru +57 other locations
Bandhan Bank,3.7,(8.7k),Banking | Kolkata +907 other locations
Yes Bank,3.7,(8.7k),Banking | Mumbai +497 other locations
Tata Steel,4.0,(8.4k),Iron & Steel | Jamshedpur +212 other locations
Startek,3.1,(8.3k),Bangalore / Bengaluru +99 other locations
Quess,3.8,(8.1k),BPO | Bangalore / Bengaluru +650 other locations
Asian Paints,4.0,(8.1k),Chemicals | Mumbai +502 other locations
Paytm,3.2,(8.1k),FinTech | Noida +375 other locations
